YBL085W YOL019W
YBL085W YOL135C
YBL085W YPL115C
YBL090W YBR251W
YBL090W YHL004W
YBL092W YDR026C
YBL097W YLR373C
YBL098W YDL226C
YBL099W YBR039W
YBL099W YBR088C
YBL099W YBR288C
YBL099W YDL004W
YBL099W YDL017W
YBL099W YDL164C
YBL099W YDR227W
YBL099W YDR298C
YBL099W YDR322C-A
YBL099W YDR523C
YBL099W YER173W
YBL099W YFR028C
YBL099W YGL131C
YBL099W YGL137W
YBL099W YGL163C
YBL099W YGR040W
YBL099W YGR123C
YBL099W YGR240C
YBL099W YGR262C
YBL099W YHR030C
YBL099W YHR135C
YBL099W YHR166C
YBL099W YJL087C
YBL099W YJL173C
YBL099W YJL180C
YBL099W YJR121W
YBL099W YKL016C
YBL099W YLR148W
YBL099W YLR186W
YBL099W YLR295C
YBL099W YLR320W
YBL099W YLR442C
YBL099W YML081C-A
YBL099W YMR106C
YBL099W YNL090W
YBL099W YNL290W
YBL099W YNL311C
YBL099W YNL315C
YBL099W YOL115W
YBL099W YPL078C
YBL099W YPL149W
YBL099W YPL153C
YBL099W YPL164C
YBL099W YPL271W
YBL099W YPR020W
YBR003W YLR310C
YBR004C YLR082C
YBR010W YCR084C
YBR010W YDR224C
YBR010W YDR225W
YBR010W YDR227W
YBR010W YDR440W
YBR010W YIL035C
YBR010W YJL115W
YBR010W YLR442C
YBR010W YNL030W
YBR010W YPL209C
YBR021W YHR042W
YBR028C YHR135C
YBR039W YDL047W
YBR039W YDL059C
YBR039W YDL145C
YBR039W YDR523C
YBR039W YFR028C
YBR039W YGR104C
YBR039W YJR121W
YBR039W YMR106C
YBR039W YPL256C
YBR042C YER081W
YBR044C YDL093W
YBR044C YHR042W
YBR044C YKL141W
YBR044C YKL148C
YBR044C YLL041C
YBR055C YBR121C
YBR055C YBR127C
YBR055C YBR133C
YBR055C YCL018W
YBR055C YCL043C
YBR055C YCR002C
YBR055C YCR053W
YBR055C YDL064W
YBR055C YDR158W
YBR055C YDR353W
YBR055C YER003C
YBR055C YER043C
YBR055C YER091C
YBR055C YER146W
YBR055C YFL017W-A
YBR055C YFR053C
YBR055C YGL202W
YBR055C YGL206C
YBR055C YGL245W
YBR055C YGL253W
YBR055C YGR061C
YBR055C YGR074W
YBR055C YGR094W
YBR055C YGR155W
YBR055C YGR204W
YBR055C YGR240C
YBR055C YGR254W
YBR055C YHR019C
YBR055C YHR064C
YBR055C YHR165C
YBR055C YHR183W
YBR055C YHR208W
YBR055C YJL080C
YBR055C YJR105W
YBR055C YJR139C
YBR055C YKL081W
YBR055C YKL085W
YBR055C YLR044C
YBR055C YLR153C
YBR055C YLR259C
YBR055C YLR304C
YBR055C YLR355C
YBR055C YLR432W
YBR055C YMR012W
YBR055C YMR120C
YBR055C YNR001C
YBR055C YOR133W
YBR055C YOR136W
YBR055C YOR159C
YBR055C YOR335C
YBR055C YPR082C
YBR060C YBR160W
YBR060C YHR118C
YBR060C YML065W
YBR060C YNL261W
YBR060C YPR162C
YBR070C YJL019W
YBR073W YGL213C
YBR073W YLR453C
YBR080C YGL137W
YBR080C YGR262C
YBR081C YBR253W
YBR081C YDR176W
YBR081C YDR448W
YBR081C YGL066W
YBR081C YGL112C
YBR081C YGL244W
YBR081C YGR252W
YBR081C YHR099W
YBR081C YMR223W
YBR081C YMR236W
YBR081C YPL254W
YBR085W YDL059C
YBR085W YGR262C
YBR085W YHR135C
YBR085W YJL173C
YBR086C YKL212W
YBR087W YBR088C
YBR087W YER173W
YBR087W YHR191C
YBR087W YLR390W
YBR087W YMR078C
YBR087W YNL088W
YBR087W YNL290W
YBR087W YOR144C
YBR087W YOR217W
YBR088C YCR092C
YBR088C YDL164C
YBR088C YDR097C
YBR088C YER041W
YBR088C YFR053C
YBR088C YGR155W
YBR088C YHR031C
YBR088C YJR043C
YBR088C YKL113C
YBR088C YLR035C
YBR088C YML021C
YBR088C YMR167W
YBR088C YNL071W
YBR088C YNL290W
YBR088C YOL055C
YBR088C YOR217W
YBR089W YGL070C
YBR091C YDL217C
YBR091C YHR005C-A
YBR091C YJL054W
YBR091C YOR297C
YBR098W YBR160W
YBR098W YDR386W
YBR098W YJR045C
YBR098W YJR121W
YBR103W YCL018W
YBR103W YDL112W
YBR103W YDR148C
YBR103W YDR227W
YBR103W YEL064C
YBR103W YGR239C
YBR103W YGR254W
YBR103W YHL004W
YBR103W YIL112W
YBR103W YJR121W
YBR103W YLR409C
YBR103W YML109W
YBR103W YMR155W
YBR103W YMR273C
YBR106W YBR110W
YBR106W YBR243C
YBR106W YBR283C
YBR106W YBR293W
YBR106W YCR098C
YBR106W YDL093W
YBR106W YDR046C
YBR106W YDR297W
YBR106W YDR331W
YBR106W YDR414C
YBR106W YEL002C
YBR106W YEL017C-A
YBR106W YFL025C
YBR106W YGL054C
YBR106W YGL055W
YBR106W YGL070C
YBR106W YGL167C
YBR106W YGL200C
YBR106W YHL048W
YBR106W YHR026W
YBR106W YHR123W
YBR106W YHR133C
YBR106W YHR142W
YBR106W YIL048W
YBR106W YJL012C
YBR106W YJL108C
YBR106W YJR124C
YBR106W YKL165C
YBR106W YLR034C
YBR106W YLR378C
YBR106W YML067C
YBR106W YML123C
YBR106W YMR058W
YBR106W YMR149W
YBR106W YMR215W
YBR106W YMR274C
YBR106W YNL048W
YBR106W YNL101W
YBR106W YNL130C
YBR106W YOL020W
YBR106W YOL030W
YBR106W YOL132W
YBR106W YPL189W
YBR106W YPL274W
YBR106W YPR124W
YBR110W YBR159W
YBR110W YCR034W
YBR110W YDR331W
YBR110W YEL002C
YBR110W YEL017C-A
YBR110W YGL200C
YBR110W YGR105W
YBR110W YHL048W
YBR110W YHR026W
YBR110W YHR133C
YBR110W YHR142W
YBR110W YLR372W
YBR110W YML123C
YBR110W YMR058W
YBR110W YMR215W
YBR110W YPL274W
YBR120C YKR026C
YBR121C YNL244C
YBR122C YGR220C
YBR122C YNL284C
YBR123C YDR362C
YBR123C YGL133W
YBR123C YGR047C
YBR123C YKL068W
YBR123C YOR110W
YBR123C YPL007C
YBR125C YDR507C
YBR125C YGL206C
YBR127C YCR002C
YBR127C YDL017W
YBR127C YDL047W
YBR127C YDL059C
YBR127C YDL156W
YBR127C YDL164C
YBR127C YDR092W
YBR127C YDR227W
YBR127C YDR523C
YBR127C YER017C
YBR127C YER173W
YBR127C YFR031C
YBR127C YGL137W
YBR127C YGL163C
YBR127C YGR040W
YBR127C YGR188C
YBR127C YHL007C
YBR127C YHR107C
YBR127C YHR135C
YBR127C YIL046W
YBR127C YIL061C
YBR127C YJR007W
YBR127C YKR026C
YBR127C YLR314C
YBR127C YML115C
YBR127C YMR054W
YBR127C YMR094W
YBR127C YMR106C
YBR127C YMR116C
YBR127C YMR117C
YBR127C YNL053W
YBR127C YNL090W
YBR127C YNL135C
YBR127C YNL244C
YBR127C YNL290W
YBR127C YNR031C
YBR127C YOL062C
YBR127C YOL113W
YBR127C YOL115W
YBR127C YOR351C
YBR127C YPL164C
YBR127C YPL259C
YBR130C YFR053C
YBR130C YGL106W
YBR130C YGL206C
YBR130C YHR107C
YBR130C YIL144W
YBR130C YJR045C
YBR130C YLR092W
YBR130C YLR310C
YBR130C YMR047C
YBR133C YER087W
YBR133C YGL187C
YBR133C YHL007C
YBR133C YJL187C
YBR133C YKL101W
YBR133C YNL094W
YBR145W YDR034C
YBR145W YMR047C
YBR146W YBR251W
YBR146W YDR036C
YBR146W YHL004W
YBR146W YIL070C
YBR156C YGL061C
YBR156C YGR113W
YBR156C YPL209C
YBR159W YBR283C
YBR159W YBR293W
YBR159W YDR046C
YBR159W YDR297W
YBR159W YDR331W
YBR159W YDR414C
YBR159W YDR468C
YBR159W YEL002C
YBR159W YEL017C-A
YBR159W YFL048C
YBR159W YGL055W
YBR159W YGL200C
YBR159W YGR172C
YBR159W YGR191W
YBR159W YHL048W
YBR159W YHR026W
YBR159W YHR110W
YBR159W YHR123W
YBR159W YHR133C
YBR159W YHR142W
YBR159W YIL005W
YBR159W YIR022W
YBR159W YJL222W
YBR159W YKL165C
YBR159W YKL212W
YBR159W YLR004C
YBR159W YLR056W
YBR159W YLR083C
YBR159W YLR292C
YBR159W YLR378C
YBR159W YML067C
YBR159W YML123C
YBR159W YMR058W
YBR159W YMR149W
YBR159W YMR215W
YBR159W YNL048W
YBR159W YNL101W
YBR159W YNL130C
YBR159W YNR070W
YBR159W YOL132W
YBR159W YPL189W
YBR159W YPL274W
YBR159W YPR124W
YBR160W YCL014W
YBR160W YCR065W
YBR160W YDR027C
YBR160W YDR052C
YBR160W YDR093W
YBR160W YDR097C
YBR160W YDR113C
YBR160W YDR123C
YBR160W YDR130C
YBR160W YDR217C
YBR160W YDR227W
YBR160W YDR348C
YBR160W YDR356W
YBR160W YDR389W
YBR160W YDR501W
YBR160W YDR507C
YBR160W YER032W
YBR160W YER041W
YBR160W YER120W
YBR160W YER158C
YBR160W YFL037W
YBR160W YFR027W
YBR160W YFR030W
YBR160W YFR046C
YBR160W YFR053C
YBR160W YGL097W
YBR160W YGL124C
YBR160W YGL178W
YBR160W YGL206C
YBR160W YGL216W
YBR160W YGL235W
YBR160W YGR014W
YBR160W YGR108W
YBR160W YGR109C
YBR160W YGR186W
YBR160W YGR221C
YBR160W YGR238C
YBR160W YGR270W
YBR160W YHL022C
YBR160W YHL035C
YBR160W YHL050C
YBR160W YHR027C
YBR160W YHR098C
YBR160W YHR118C
YBR160W YHR149C
YBR160W YHR158C
YBR160W YHR164C
YBR160W YIL050W
YBR160W YIL112W
YBR160W YIL131C
YBR160W YIL140W
YBR160W YIR023W
YBR160W YJL060W
YBR160W YJL076W
YBR160W YJL092W
YBR160W YJL157C
YBR160W YJL187C
YBR160W YJR054W
YBR160W YKL014C
YBR160W YKL043W
YBR160W YKL048C
YBR160W YKL108W
YBR160W YKR077W
YBR160W YKR078W
YBR160W YKR090W
YBR160W YLL003W
YBR160W YLL021W
YBR160W YLR006C
YBR160W YLR035C
YBR160W YLR045C
YBR160W YLR086W
YBR160W YLR180W
YBR160W YLR182W
YBR160W YLR183C
YBR160W YLR187W
YBR160W YLR210W
YBR160W YLR259C
YBR160W YLR319C
YBR160W YLR394W
YBR160W YLR457C
YBR160W YML027W
YBR160W YML065W
YBR160W YML085C
YBR160W YMR005W
YBR160W YMR012W
YBR160W YMR129W
YBR160W YMR199W
YBR160W YNL068C
YBR160W YNL071W
YBR160W YNL102W
YBR160W YNL257C
YBR160W YNL278W
YBR160W YNL298W
YBR160W YNL309W
YBR160W YNL339C
YBR160W YOR037W
YBR160W YOR075W
YBR160W YOR081C
YBR160W YOR127W
YBR160W YOR188W
YBR160W YOR195W
YBR160W YOR315W
YBR160W YOR372C
YBR160W YPL014W
YBR160W YPL115C
YBR160W YPL155C
YBR160W YPL209C
YBR160W YPL255W
YBR160W YPL256C
YBR160W YPL267W
YBR160W YPR018W
YBR160W YPR120C
YBR160W YPR141C
YBR160W YPR174C
YBR160W YPR175W
YBR162C YBR192W
YBR162C YMR214W
YBR162C YNL217W
YBR162C YNL287W
YBR162C YOL028C
YBR162W-A YIL027C
YBR162W-A YLR090W
YBR177C YHR114W
YBR184W YNL225C
YBR186W YGL127C
YBR186W YLR373C
YBR187W YGL137W
YBR187W YNR032W
YBR192W YER078C
YBR192W YHR114W
YBR195C YHR004C
YBR195C YLR259C
YBR195C YLR418C
YBR195C YML102W
YBR195C YMR066W
YBR195C YOR308C
YBR195C YPR018W
YBR205W YDL101C
YBR205W YDR170C
YBR205W YGL212W
YBR205W YHR114W
YBR205W YML115C
YBR205W YPR107C
YBR215W YLR453C
YBR216C YKL068W
YBR216C YMR047C
YBR227C YKR026C
YBR240C YDL080C
YBR240C YER081W
YBR243C YER081W
YBR248C YOL102C
YBR249C YEL047C
YBR249C YER081W
YBR249C YOR050C
YBR251W YDL045W-A
YBR251W YDR036C
YBR251W YDR041W
YBR251W YDR175C
YBR251W YDR337W
YBR251W YDR347W
YBR251W YER155C
YBR251W YGL129C
YBR251W YGR084C
YBR251W YGR090W
YBR251W YGR150C
YBR251W YGR162W
YBR251W YGR170W
YBR251W YGR215W
YBR251W YHL004W
YBR251W YHR059W
YBR251W YIL093C
YBR251W YJR101W
YBR251W YJR113C
YBR251W YKL003C
YBR251W YKL155C
YBR251W YNL137C
YBR251W YNL306W
YBR251W YOL115W
YBR251W YOR205C
YBR251W YPL013C
YBR251W YPL118W
YBR253W YCR081W
YBR253W YDR308C
YBR253W YDR448W
YBR253W YGL112C
YBR253W YGL151W
YBR253W YGR104C
YBR253W YGR252W
YBR253W YHR041C
YBR253W YHR058C
YBR253W YNL236W
YBR253W YNR010W
YBR253W YOL135C
YBR253W YOR174W
YBR253W YPL042C
YBR254C YDR407C
YBR254C YDR472W
YBR254C YGR166W
YBR254C YHR041C
YBR254C YKR068C
YBR254C YLR342W
YBR254C YML077W
YBR254C YOR115C
YBR258C YDR469W
YBR258C YHR119W
YBR260C YHR107C
YBR260C YIL118W
YBR275C YFR028C
YBR275C YIL035C
YBR275C YLR453C
YBR275C YNL216W
YBR282W YNL284C
YBR283C YCR034W
YBR283C YIL016W
YBR283C YIL162W
YBR283C YKL154W
YBR283C YLR372W
YBR283C YMR215W
YBR283C YOR254C
YBR288C YCL018W
YBR288C YDL055C
YBR288C YFL037W
YBR288C YGL206C
YBR288C YGR254W
YBR288C YGR261C
YBR288C YJL024C
YBR288C YJR045C
YBR288C YJR077C
